rank,ticker,company_name,sector,country,aggregate_score,distance_from_cutoff,num_claims,max_confidence,min_confidence,ca_claims,cagr_claims,factual_claims,structural_weight,avg_kb2_adjustment,gatekeeper_triggered,in_sector_neutral_p30,in_topn_p60,in_topn_p90
31,COL,"Rockwell Collins, Inc.",Industrials,UNITED STATES,0.656667,-0.000333,6,0.9,0.2,3,2,1,0.0,0.0,1,Y,Y,Y
32,ROG,Roche Holding Ltd Genusssch.,Health Care,SWITZERLAND,0.654,-0.003,15,0.7,0.5,5,5,5,0.0,0.0,0,N,Y,Y
33,ITV,ITV plc,Consumer Discretionary,UNITED KINGDOM,0.6525,-0.0045,6,0.7,0.55,4,2,0,0.0,0.0,0,Y,Y,Y
34,CON,Continental AG,Consumer Discretionary,GERMANY,0.65,-0.007,8,0.9,0.4,4,1,3,0.0,0.0,0,N,Y,Y
35,MO,"Altria Group, Inc.",Consumer Staples,UNITED STATES,0.648571,-0.008429,7,0.9,0.3,5,2,0,0.0,0,0,N,Y,Y
36,FL,"Foot Locker, Inc.",Consumer Discretionary,UNITED STATES,0.648,-0.009,5,0.9,0.5,3,1,1,0.0,0,0,N,Y,Y
37,LKQ,LKQ Corporation,Consumer Discretionary,UNITED STATES,0.648,-0.009,5,0.9,0.5,3,1,1,0.0,0,0,N,Y,Y
38,MC,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,FRANCE,0.6475,-0.0095,6,0.8,0.5,5,1,0,0.0,0.0,0,N,Y,Y
39,COLOB,Coloplast A/S Class B,Health Care,DENMARK,0.64625,-0.01075,8,0.7,0.5,4,1,3,0.0,-0.0167,0,N,Y,Y
40,INTU,Intuit Inc.,Information Technology,UNITED STATES,0.645,-0.012,8,0.9,0.3,6,2,0,0.0,0,0,N,Y,Y
41,STZ,"Constellation Brands, Inc. Class A",Consumer Staples,UNITED STATES,0.645,-0.012,6,0.7,0.4,5,1,0,0.0,0.0,0,N,Y,Y
42,IT,"Gartner, Inc.",Information Technology,UNITED STATES,0.643571,-0.013429,14,0.9,0.3,6,4,4,0.0,0,0,N,Y,Y
43,ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,UNITED STATES,0.642857,-0.014143,7,0.9,0.3,7,0,0,0.0,-0.0333,0,N,Y,Y
44,ENB,Enbridge Inc.,Energy,CANADA,0.6425,-0.0145,8,0.7,0.5,6,2,0,0.0,0,0,Y,Y,Y
45,SVT,Severn Trent Plc,Utilities,UNITED KINGDOM,0.64,-0.017,9,0.8,0.4,5,4,0,0.0,0.0,0,N,Y,Y
46,CELG,Celgene Corporation,Health Care,UNITED STATES,0.634,-0.023,5,0.7,0.5,4,1,0,0.0,0.0,0,N,Y,Y
47,MAR,"Marriott International, Inc. Class A",Consumer Discretionary,UNITED STATES,0.63375,-0.02325,8,0.9,0.5,6,1,1,0.0,0.0,0,N,Y,Y
48,FAST,Fastenal Company,Industrials,UNITED STATES,0.633333,-0.023667,6,0.7,0.5,6,0,0,0.0,0,0,N,Y,Y
49,HRB,"H&R Block, Inc.",Consumer Discretionary,UNITED STATES,0.633333,-0.023667,6,0.7,0.5,6,0,0,0.0,0.18,0,N,Y,Y
50,MTD,Mettler-Toledo International Inc.,Health Care,UNITED STATES,0.633333,-0.023667,6,0.7,0.5,6,0,0,0.0,0.16,0,N,Y,Y
51,DD,E. I. du Pont de Nemours and Company,Materials,UNITED STATES,0.63,-0.027,5,0.75,0.45,5,0,0,0.0,0.0361,1,Y,Y,Y
52,NESN,Nestle S.A.,Consumer Staples,SWITZERLAND,0.627333,-0.029667,15,0.7,0.5,5,5,5,0.0,0.0,0,N,Y,Y
53,005930,Samsung Electronics Co Ltd Pfd  Non-Voting,Information Technology,KOREA,0.627083,-0.029917,12,0.8,0.4,6,4,2,0.0,0.0583,0,N,Y,Y
54,QIA,QIAGEN NV,Health Care,GERMANY,0.627,-0.03,10,0.9,0.3,7,1,2,0.0,0.0,0,N,Y,Y
55,REE,Red Electrica Corp. SA,Utilities,SPAIN,0.627,-0.03,10,0.9,0.3,7,1,2,0.0,0.0,0,N,Y,Y
56,SBUX,Starbucks Corporation,Consumer Discretionary,UNITED STATES,0.626667,-0.030333,9,0.7,0.5,7,2,0,0.0,0.0,0,N,Y,Y
57,HNR1,Hannover Ruck SE,Financials,GERMANY,0.624167,-0.032833,6,0.9,0.35,3,1,2,0.0,0.0,0,Y,Y,Y
58,KBC,KBC Groupe SA,Financials,BELGIUM,0.621429,-0.035571,7,0.9,0.35,3,1,3,0.0,0.0,0,N,Y,Y
59,AGU,Agrium Inc.,Materials,CANADA,0.618889,-0.038111,9,0.9,0.3,7,1,1,0.0,0.0,0,N,Y,Y
60,WFC,Wells Fargo & Company,Financials,UNITED STATES,0.6175,-0.0395,8,0.7,0.3,6,2,0,0.0,-0.0333,0,N,Y,Y
61,SLB,Schlumberger NV,Energy,UNITED STATES,0.615714,-0.041286,7,0.9,0.4,3,2,2,0.0,0.0,0,Y,N,Y
62,ANSS,"ANSYS, Inc.",Information Technology,UNITED STATES,0.614286,-0.042714,7,0.7,0.5,7,0,0,0.0,-0.0286,0,N,N,Y
63,V,Visa Inc. Class A,Information Technology,UNITED STATES,0.614286,-0.042714,7,0.9,0.3,7,0,0,0.0,0.0,0,N,N,Y
64,VRSN,"VeriSign, Inc.",Information Technology,UNITED STATES,0.614,-0.043,5,0.7,0.5,4,1,0,0.0,0.0,0,N,N,Y
65,ML,Compagnie Generale des Etablissements Michelin SCA,Consumer Discretionary,FRANCE,0.611111,-0.045889,9,0.9,0.35,5,1,3,0.0,0.0,0,N,N,Y
66,ISRG,"Intuitive Surgical, Inc.",Health Care,UNITED STATES,0.61,-0.047,13,0.9,0.5,5,3,5,0.0,0.0625,0,N,N,Y
67,CBS,CBS Corporation Class B,Consumer Discretionary,UNITED STATES,0.608889,-0.048111,9,0.7,0.3,5,4,0,0.0,0,0,N,N,Y
68,CI,Cigna Corporation,Health Care,UNITED STATES,0.60875,-0.04825,8,0.9,0.3,6,1,1,0.0,0.0,0,N,N,Y
69,NOVN,Novartis AG,Health Care,SWITZERLAND,0.60875,-0.04825,8,0.7,0.3,6,1,1,0.0,0,0,N,N,Y
70,DHL,Deutsche Post AG,Industrials,GERMANY,0.607143,-0.049857,7,0.9,0.45,4,1,2,0.0,0.0,0,N,N,Y
71,WAT,Waters Corporation,Health Care,UNITED STATES,0.606667,-0.050333,12,0.9,0.3,5,3,4,0.0,0,0,N,N,Y
72,OR,L'Oreal SA,Consumer Staples,FRANCE,0.605714,-0.051286,7,0.75,0.5,6,1,0,0.0,0.0,0,N,N,Y
73,MCK,McKesson Corporation,Health Care,UNITED STATES,0.604,-0.053,10,0.9,0.4,6,2,2,0.0,0,0,N,N,Y
74,AMT,American Tower Corporation,Financials,UNITED STATES,0.603636,-0.053364,11,0.7,0.4,7,2,2,0.0,-0.03,0,N,N,Y
75,RTN,Raytheon Company,Industrials,UNITED STATES,0.603333,-0.053667,6,0.9,0.3,3,2,1,0.0,0.0,1,N,N,Y
76,RHT,"Red Hat, Inc.",Information Technology,UNITED STATES,0.601,-0.056,10,0.7,0.3,5,5,0,0.0,0,0,N,N,Y
77,PUB,Publicis Groupe SA,Consumer Discretionary,FRANCE,0.600625,-0.056375,8,0.9,0.3,4,1,3,0.0,0.0,0,N,N,Y
78,BWA,BorgWarner Inc.,Consumer Discretionary,UNITED STATES,0.6,-0.057,6,0.7,0.5,6,0,0,0.0,0.1333,0,N,N,Y
79,GILD,"Gilead Sciences, Inc.",Health Care,UNITED STATES,0.6,-0.057,6,0.7,0.5,6,0,0,0.0,0,0,N,N,Y
80,ITUB4,Itau Unibanco Holding SA Pfd,Financials,BRAZIL,0.6,-0.057,7,0.7,0.5,7,0,0,0.0,0.0,0,N,N,Y
81,FRE,Fresenius SE & Co. KGaA,Health Care,GERMANY,0.596875,-0.060125,16,0.9,0.3,6,4,6,0.0,0.0,0,N,N,Y
82,NKE,"NIKE, Inc. Class B",Consumer Discretionary,UNITED STATES,0.596667,-0.060333,12,0.7,0.3,8,4,0,0.0,-0.0688,0,N,N,Y
83,MON,Monsanto Company,Materials,UNITED STATES,0.593333,-0.063667,9,0.7,0.3,7,2,0,0.0,0.0071,1,N,N,Y
84,SGE,Sage Group plc,Information Technology,UNITED KINGDOM,0.593333,-0.063667,9,0.7,0.4,5,1,3,0.0,-0.0333,0,N,N,Y
85,IFF,International Flavors & Fragrances Inc.,Materials,UNITED STATES,0.5925,-0.0645,8,0.7,0.3,6,2,0,0.0,0,0,N,N,Y
86,SNA,Snap-on Incorporated,Industrials,UNITED STATES,0.5925,-0.0645,8,0.7,0.3,6,2,0,0.0,0.0,0,N,N,Y
87,HOG,"Harley-Davidson, Inc.",Consumer Discretionary,UNITED STATES,0.588889,-0.068111,9,0.9,0.35,5,2,2,0.0,0,0,N,N,Y
88,BFB,,,,0.588,-0.069,5,0.7,0.4,4,1,0,0.0,0.0,0,N,N,Y
89,BF_B,,,,0.588,-0.069,5,0.7,0.4,4,1,0,0.0,0.0,0,N,N,Y
90,BXB,Brambles Ltd,Industrials,AUSTRALIA,0.588,-0.069,10,0.7,0.5,5,5,0,0.0,0.0,0,N,N,Y
91,MRK,"Merck & Co., Inc.",Health Care,UNITED STATES,0.587143,-0.069857,7,0.9,0.4,3,2,2,0.0,0.0,0,N,N,N
92,DAL,"Delta Air Lines, Inc.",Industrials,UNITED STATES,0.587,-0.07,10,0.7,0.4,5,5,0,0.0,0,0,N,N,N
93,SKAB,Skanska AB Class B,Industrials,SWEDEN,0.586667,-0.070333,12,0.7,0.3,4,4,4,0.0,0.0,0,N,N,N
94,CERN,Cerner Corporation,Health Care,UNITED STATES,0.586364,-0.070636,11,0.9,0.5,8,1,2,0.0,0.0,0,N,N,N
95,ADI,"Analog Devices, Inc.",Information Technology,UNITED STATES,0.585714,-0.071286,7,0.7,0.5,7,0,0,0.0,-0.0333,0,N,N,N
96,AME,"AMETEK, Inc.",Industrials,UNITED STATES,0.585714,-0.071286,7,0.7,0.3,7,0,0,0.0,0.1273,0,N,N,N
97,ARM,ARM Holdings plc,Information Technology,UNITED KINGDOM,0.585385,-0.071615,13,0.7,0.3,6,2,5,0.0,0.0,0,N,N,N
98,JPM,JPMorgan Chase & Co.,Financials,UNITED STATES,0.58375,-0.07325,8,0.9,0.3,6,1,1,0.0,0.0,0,N,N,N
99,KO,Coca-Cola Company,Consumer Staples,UNITED STATES,0.58375,-0.07325,8,0.9,0.3,6,1,1,0.0,0.0,0,N,N,N
100,LUN,H. Lundbeck A/S,Health Care,DENMARK,0.58375,-0.07325,8,0.7,0.3,6,1,1,0.0,0,0,N,N,N
101,CSU,Constellation Software Inc.,Information Technology,CANADA,0.5825,-0.0745,8,0.7,0.4,5,3,0,0.0,0.0,0,N,N,N
102,UNH,UnitedHealth Group Incorporated,Health Care,UNITED STATES,0.581429,-0.075571,7,0.7,0.5,3,1,3,0.0,0.075,0,N,N,N
